"PSRJ","Mode"
"J1903-0632","Os?"
"J1903-0848","Os?"
"J1904+0004","Xs"
"J1904+1011","Od?"
"J1904-1224","Os?"
"J1905+0616","Xs"
"J1905+0709","Os"
"J1906+0641","Od"
"J1906+0649","Xs"
"J1907+0345","Xs"
"J1907+0631","Xs"
"J1907+0740","Os?Xs?"
"J1907+0859","Od?"
"J1907+0918","Xs"
"J1907+1149","Xs"
"J1907-1532","XOX?"
"J1908+0500","Xs"
"J1908+0916","Xs"
"J1909+0007","Xs"
"J1909+0254","Xs?"
"J1909+1102","Os"
"J1909+1859","Xs"
"J1910+0358","Xd?"
"J1910+0714","Xs"
"J1910+0728","Xd"
"J1910+1231","Os"
"J1910-0309","Xs?"
"J1912+1036","Xs"
"J1912+2104","Od"
"J1913+0936","Od"
"J1913+1400","Xs?"
"J1913-0440","Os?"
"J1914+0219","Xd"
"J1914+1122","Od"
"J1915+0227","XO?"
"J1915+0738","Os"
"J1915+0752","Xs"
"J1915+1009","Xs"
"J1915+1606","OX(O)"
"J1915+1647","Os"
"J1916+0951","Od"
"J1916+1312","Os"
"J1916-2939","Od?"
"J1917+0834","Od"
"J1917+1353","Xs"
"J1918+1444","Xs"
"J1918+1541","Xs"
"J1918-1052","Os"
"J1919+0021","Os?Xs?"
"J1919+0134","Od"
"J1919+1745","Xd"
"J1920-0950","Xd?"
"J1921+0812","Xs"
"J1921+1419","Os"
"J1921+1948","XOX?"
"J1921+2003","Od?"
"J1921+2153","Od"
"J1922+1733","Xd"
"J1923+1706","Xd?"
"J1924+1631","Xs?"
"J1926+0431","Os?"
"J1926+1434","Od?"
"J1926+1648","Xs"
"J1926+2016","Xs"
"J1926-0652","Od?"
"J1927+0911","Xs?"
"J1927+1852","Od"
"J1927+2234","Od"
"J1928+1443","Xs"
"J1928+1746","Od"
"J1928+1923","Xs"
"J1929+1955","Xs"
"J1929+2121","Os"
"J1930+1316","Xs"
"J1931+1439","Od"
"J1931+1536","Od?"
"J1932+1059","Xs"
"J1932+1500","Od"
"J1932+2220","Xs"
"J1932-3655","Xs?"
"J1933+1304","Od?"
"J1935+1159","Od?"
"J1935+1616","Xs?"
"J1935+1745","Xs?"
"J1935+2025","Os"
"J1936+1536","Os"
"J1938+0650","Xs"
"J1938+2213","Os"
"J1940+2245","Xs?"
"J1940+2337","Xs"
"J1941+0121","Os"
"J1941+1026","Xs"
"J1941+1341","Xs?"
"J1941-2602","Xd"
"J1943+0609","Od"
"J1943-1237","Xs"
"J1944+1755","Od"
"J1945-0040","Od"
"J1946+1805","Os"
"J1946+2244","Os?Xs?"
"J1946-1312","Xs?"
"J1946-2913","Od?"
"J1947+0915","Os"
"J1949-2524","Os"
"J1951+1123","Os?Xs?"
"J1952+1410","Xs"
"J1956+0838","Xs"
"J2005-0020","Od"
"J2006-0807","OXO"
"J2007+0910","Os"
"J2017+2043","(O)XO?"
"J2037+1942","OXO"
"J2038-3816","Os"
"J2043+2740","Os"
"J2045+0912","Od"
"J2046+1540","Xd"
"J2046-0421","Os"
"J2048-1616","Od"
"J2053-7200","Od"
"J2108-3429","Os"
"J2111+2106","Os"
"J2116+1414","Os"
"J2124+1407","Od"
"J2136-1606","Os"
"J2139+2242","Os"
"J2154-2812","Xs"
"J2155-3118","Os"
"J2215+1538","Os?Xs?"
"J2234+2114","Os?"
"J2248-0101","Xs"
"J2253+1516","Od"
"J2317+2149","Os"
"J2324-6054","Od?"
"J2330-2005","Od"
"J2346-0609","Od"
,
